area,name,address,speciality,phone,website,hours,maps_url,angle
Harley Street London,Harley Cosmetics London,"78-80 Seymour Pl, London",dermatology,+44 207 859 4132,https://harleycosmeticslondon.com/,Mo-Th 10:00-18:00; Fr-Sa 10:00-17:00; Su 11:30-16:00,"https://www.google.com/maps/search/?api=1&query=51.5186203,-0.1626066",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,AI Beauty Clinic,,plastic_surgery,,,Mo-Su 10:30-17:00,"https://www.google.com/maps/search/?api=1&query=51.5156929,-0.1368722",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,Eudelo Skin Experience Centre,"86, Sloane Avenue, London",dermatology,,,,"https://www.google.com/maps/search/?api=1&query=51.4933932,-0.1682985",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,The Plastic Surgery Group,"7, Hanson Street, London",plastic_surgery,,https://www.theplasticsurgerygroup.co.uk/,,"https://www.google.com/maps/search/?api=1&query=51.5195434,-0.1403604",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,David Whitehead ENT,"9, Harley Street, London",otolaryngology;plastic_surgery,+44 20 7183 0220,,Mo-Fr 09:00-18:00,"https://www.google.com/maps/search/?api=1&query=51.5171004,-0.1462544",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,The Harley Street Eye Centre,"22A, Harley Street, London",ophthalmology,+44 20 3375 2200,https://www.eyesat22a.com/,Mo-Fr 10:00-19:00,"https://www.google.com/maps/search/?api=1&query=51.5178117,-0.1460981",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,The Spine MDT,"9, Harley Street, London",neurosurgery,+44 20 8088 1222,https://www.spinemdt.com/london-clinic/,Mo-Fr 08:00-18:00,"https://www.google.com/maps/search/?api=1&query=51.5170362,-0.1465553",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,Great Chapel Street Medical Centre,"1, Frith Street, London",,+44 20 7437 9360,https://greatchapelst.org.uk/,,"https://www.google.com/maps/search/?api=1&query=51.5146661,-0.1320631",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,Brunswick Medical Centre,"39, Brunswick Square, London",,+44 20 7837 3811,https://brunswickmedicalcentre.com/,Mo-We 08:00-20:00; Th-Fr 08:00-18:30; Sa 09:00-12:00,"https://www.google.com/maps/search/?api=1&query=51.5247023,-0.1237542",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,Sloane Square Medical,"2, Lower Sloane Street, London",,+44 20 7730 8835,https://www.sloanesquaremedical.org/,,"https://www.google.com/maps/search/?api=1&query=51.4920587,-0.157696",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,90 Sloane Street,"90, Sloane Street, London",,+44 20 7235 5850,https://90sloanestreet.com/,,"https://www.google.com/maps/search/?api=1&query=51.4960203,-0.1589978",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,South Kensington GP Clinic,"2a, Pelham Street",,+44 20 7591 1300,http://www.southkensingtongpclinic.com/location/,,"https://www.google.com/maps/search/?api=1&query=51.4937579,-0.1733453",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,Chelsea Outpatient Centre,"280, King's Road, London",,+44 20 7881 4114,https://www.hcahealthcare.co.uk/locations/outpatients/the-lister-hospital/chelsea-outpatients,,"https://www.google.com/maps/search/?api=1&query=51.4867745,-0.1717992",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,The Spencer Clinic of Trichology,"31, Thurloe Street, London",,+44 20 7584 4255,https://www.spencerclinic.co.uk/,,"https://www.google.com/maps/search/?api=1&query=51.4945697,-0.1738948",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,The Smart Clinics,"30, Thurloe Place, London",,+44 20 7052 0070,https://kensingtonpodiatry.co.uk/,,"https://www.google.com/maps/search/?api=1&query=51.4948754,-0.1740081",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Knightsbridge London,Scarsdale Medical Centre,"2, Scarsdale Place, London",general,+44 20 7938 1887,https://scarsdalemedicalcentre.nhs.uk/#,,"https://www.google.com/maps/search/?api=1&query=51.4994073,-0.1919002",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Knightsbridge London,Kensington Eye centre,"37, Kensington Church Street, London",ophthalmology,+44 20 7937 8282,https://www.kensingtoneyecentre.co.uk/,,"https://www.google.com/maps/search/?api=1&query=51.5036922,-0.1921146",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Knightsbridge London,The Medical Chambers Kensington,"10, Knaresborough Place, London",,+44 20 7244 4200,https://www.themedicalchambers.com/,,"https://www.google.com/maps/search/?api=1&query=51.4936302,-0.1903311",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Manchester Spinningfields,The Docs,"55-57, Bloom Street, Manchester",sexual_health,+44 161 237 9490,https://thedocsmanchester.co.uk/,Mo-Fr 08:00-18:30,"https://www.google.com/maps/search/?api=1&query=53.4768056,-2.2382627",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Birmingham Edgbaston,Transform,"38, Highfield Road, Birmingham",plastic_surgery,,,,"https://www.google.com/maps/search/?api=1&query=52.4711876,-1.925425",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Birmingham Edgbaston,Staiano,,plastic_surgery,,,,"https://www.google.com/maps/search/?api=1&query=52.4713409,-1.9171575",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Birmingham Edgbaston,CC Kat Aesthetics,,,,,,"https://www.google.com/maps/search/?api=1&query=52.476621,-1.9204926",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,London Medical,"49, Marylebone High Street, London",,,https://londonmedical.co.uk/,,"https://www.google.com/maps/search/?api=1&query=51.5214601,-0.1513796",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,Crawford Street Surgery,"95-97, Crawford Street, London",,,https://crawfordstreetsurgery.co.uk/,,"https://www.google.com/maps/search/?api=1&query=51.5193227,-0.1612266",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Harley Street London,Gower Street Practice,"20, Gower Street, London",,,https://www.gowerstreetpractice.org.uk/,Mo-Fr 09:00-17:30,"https://www.google.com/maps/search/?api=1&query=51.5203745,-0.1300994",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,The Sloane Street Surgery,"82, Sloane Street",,,https://sloanestreetsurgery.co.uk/,,"https://www.google.com/maps/search/?api=1&query=51.4962599,-0.1589982",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,Imperial College Health Centre,,,,https://www.imperialcollegehealthcentre.co.uk/,Mo-Fr 08:00-18:30,"https://www.google.com/maps/search/?api=1&query=51.4986558,-0.1721382",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Chelsea London,The SW7 Clinic,"35, Hereford Square, London",osteopathy,,https://www.thesw7clinic.co.uk/,,"https://www.google.com/maps/search/?api=1&query=51.4930386,-0.1818314",Lead with no-show/admin follow-up audit; mention premium client journey automation.
Knightsbridge London,Chelsea Medical Services,"45, Rosary Gardens",,,https://www.chelseamedicalservices.co.uk/#,,"https://www.google.com/maps/search/?api=1&query=51.4922913,-0.1831155",Lead with no-show/admin follow-up audit; mention premium client journey automation.
